509530,,2021-02-01,13:04:31,-22.3,-26.1,1017.4,1025.0,15.8,11.8,0.01,0.0,110000,50.8,253,CHINA,
343980,,2021-02-01,13:04:31,-3.3,-7.3,1020.2,1020.7,19.4,18.4,0.00,2.9,101000,52.7,143,KAZAKHSTAN,
547250,,2021-02-01,13:04:31,-3.5,-13.4,1017.3,1028.0,13.6,5.6,0.01,0.0,110000,52.0,256,CHINA,
367780,,2021-02-01,13:04:31,-8.9,-10.9,1017.3,1018.0,13.9,6.1,0.00,12.0,101000,53.8,298,KAZAKHSTAN,
172400,,2021-02-01,13:04:31,-2.0,-7.1,952.8,1017.9,25.0,6.0,0.04,0.4,111000,87.7,117,TURKEY,
532310,,2021-02-01,13:04:31,-13.5,-21.3,851.3,854.2,26.8,24.8,0.00,0.0,100000,68.8,271,CHINA,
561670,,2021-02-01,13:04:31,-0.5,-16.1,706.5,708.1,28.5,7.5,0.00,0.0,100000,83.6,194,CHINA,
509490,,2021-02-01,13:04:31,-19.6,-26.9,1015.4,1025.4,15.6,6.7,0.01,0.0,110000,94.0,46,CHINA,
471320,,2021-02-01,13:04:31,-3.6,-10.6,1011.2,1075.3,14.3,0.5,0.00,0.0,100000,22.2,9,KOREA, SOUTH,
172920,,2021-02-01,13:04:31,-0.2,-3.1,969.3,1015.7,20.5,7.5,0.30,0.0,110000,79.6,83,TURKEY,
442870,,2021-02-01,13:04:31,-15.7,-20.4,807.6,1033.3,53.0,5.8,0.00,2.8,101000,73.1,280,MONGOLIA,
471100,,2021-02-01,13:04:31,-8.9,-15.9,1008.3,1008.6,14.7,8.3,0.00,0.0,100000,27.4,268,KOREA, SOUTH,
351080,,2021-02-01,13:04:31,-7.3,-10.2,1020.3,1020.6,9.6,20.0,0.05,6.2,111000,62.8,237,KAZAKHSTAN,
475530,,2021-02-01,13:04:31,-4.3,-6.8,997.6,990.6,5.3,5.0,0.00,0.0,100000,6.3,351,JAPAN,
583140,,2021-02-01,13:04:31,-0.3,-4.5,1026.2,1028.2,15.8,6.8,0.09,0.0,110000,89.3,268,CHINA,
475150,,2021-02-01,13:04:31,-4.4,-8.9,998.9,1003.5,6.3,11.3,0.00,0.0,100000,41.9,268,JAPAN,
508540,,2021-02-01,13:04:31,-23.1,-28.3,1023.5,1024.2,15.0,6.9,0.01,0.0,110000,80.1,217,CHINA,
471074,,2021-02-01,13:04:31,-9.5,-20.0,978.0,980.8,11.9,11.8,0.00,0.0,100000,67.6,3,KOREA, SOUTH,
471087,,2021-02-01,13:04:31,-7.1,-16.6,1013.5,1039.2,15.0,14.0,0.00,0.0,100000,25.5,305,KOREA, SOUTH,
471080,,2021-02-01,13:04:31,-7.7,-14.9,1020.8,1024.4,21.1,8.8,0.00,0.3,101000,50.7,168,KOREA, SOUTH,
471120,,2021-02-01,13:04:31,-6.5,-14.2,1021.9,1023.8,15.3,12.6,0.01,0.0,110000,98.9,308,KOREA, SOUTH,
506320,,2021-02-01,13:04:31,-12.5,-18.0,990.1,1027.6,31.8,14.1,0.01,0.0,110000,50.4,250,CHINA,
476170,,2021-02-01,13:04:31,-7.9,-12.1,953.6,1022.7,12.8,6.1,0.00,0.0,100000,38.4,222,JAPAN,
475760,,2021-02-01,13:04:31,-7.1,-9.8,1014.1,1014.2,19.2,8.5,0.20,0.0,110000,54.8,201,JAPAN,
472185,,2021-02-01,13:04:31,-8.7,-11.7,1009.7,989.8,2.4,23.2,0.00,0.0,100000,51.5,231,JAPAN,
170840,,2021-02-01,13:04:31,-1.4,-5.8,940.4,1019.3,22.4,3.4,0.04,1.2,111000,64.6,76,TURKEY,
549290,,2021-02-01,13:04:31,-2.1,-11.4,1037.1,1028.0,23.4,7.7,0.00,0.0,100000,44.4,121,CHINA,
524240,,2021-02-01,13:04:31,-4.7,-13.7,898.3,1030.4,32.1,6.8,0.00,0.0,100000,65.9,94,CHINA,
471700,,2021-02-01,13:04:31,-0.5,-7.5,1018.7,1023.8,18.3,6.9,0.02,0.0,110000,51.3,332,KOREA, SOUTH,
749348,,2021-02-01,13:04:31,-4.6,-8.7,1020.0,1024.2,121.5,12.3,0.00,0.0,100000,72.1,126,CHINA,
476340,,2021-02-01,13:04:31,-1.4,-7.5,1002.6,1007.1,9.8,14.3,0.01,0.0,110000,90.6,27,JAPAN,
561440,,2021-02-01,13:04:31,-0.4,-18.7,680.9,679.2,29.6,1.6,0.01,0.0,110000,52.5,102,CHINA,
540270,,2021-02-01,13:04:31,-5.3,-16.5,998.8,1029.0,28.1,10.8,0.00,0.0,100000,57.7,82,CHINA,
